address_id,canonical_address,spoken_variant,locality,pincode,source
blr_757cebf1830a5a2d,13th B Cross Road,13th b cross road area,13th B Cross Road,,mixed
blr_85c5172b4844a0b9,13 A Cross Road,13 a cross road,13 A Cross Road,,mixed
blr_85c5172b4844a0b9,13 A Cross Road,in 13 a cross road,13 A Cross Road,,mixed
blr_85c5172b4844a0b9,13 A Cross Road,near 13 a cross road,13 A Cross Road,,mixed
blr_85c5172b4844a0b9,13 A Cross Road,around 13 a cross road,13 A Cross Road,,mixed
blr_85c5172b4844a0b9,13 A Cross Road,13 a cross road area,13 A Cross Road,,mixed
blr_cfb8bc028a9c59f7,4A Cross Road,4a cross road,4A Cross Road,,mixed
blr_cfb8bc028a9c59f7,4A Cross Road,in 4a cross road,4A Cross Road,,mixed
blr_cfb8bc028a9c59f7,4A Cross Road,near 4a cross road,4A Cross Road,,mixed
blr_cfb8bc028a9c59f7,4A Cross Road,around 4a cross road,4A Cross Road,,mixed
blr_cfb8bc028a9c59f7,4A Cross Road,4a cross road area,4A Cross Road,,mixed
blr_914c1cfa0bc9cd33,25th B Main,25th b main,25th B Main,,mixed
blr_914c1cfa0bc9cd33,25th B Main,2fifth b main,25th B Main,,mixed
blr_914c1cfa0bc9cd33,25th B Main,2five b main,25th B Main,,mixed
blr_914c1cfa0bc9cd33,25th B Main,in 25th b main,25th B Main,,mixed
blr_914c1cfa0bc9cd33,25th B Main,near 2fifth b main,25th B Main,,mixed
blr_123d3726c239db50,5th C Cross Road,fifth c cross road,5th C Cross Road,,mixed
blr_123d3726c239db50,5th C Cross Road,five c cross road,5th C Cross Road,,mixed
blr_123d3726c239db50,5th C Cross Road,5th c cross road,5th C Cross Road,,mixed
blr_123d3726c239db50,5th C Cross Road,in fifth c cross road,5th C Cross Road,,mixed
blr_123d3726c239db50,5th C Cross Road,near five c cross road,5th C Cross Road,,mixed
blr_88cce7dbd97bbf6b,VP Road,vp road,VP Road,,mixed
blr_88cce7dbd97bbf6b,VP Road,in vp road,VP Road,,mixed
blr_88cce7dbd97bbf6b,VP Road,near vp road,VP Road,,mixed
blr_88cce7dbd97bbf6b,VP Road,around vp road,VP Road,,mixed
blr_88cce7dbd97bbf6b,VP Road,vp road area,VP Road,,mixed
blr_f28da1bf2e50b597,NICE Expressway,nice expressway,NICE Expressway,,mixed
blr_f28da1bf2e50b597,NICE Expressway,in nice expressway,NICE Expressway,,mixed
blr_f28da1bf2e50b597,NICE Expressway,near nice expressway,NICE Expressway,,mixed
blr_f28da1bf2e50b597,NICE Expressway,around nice expressway,NICE Expressway,,mixed
blr_f28da1bf2e50b597,NICE Expressway,nice expressway area,NICE Expressway,,mixed
blr_41ed9a88832af91d,22nd A Cross Road,2two a cross road,22nd A Cross Road,,mixed
blr_41ed9a88832af91d,22nd A Cross Road,2second a cross road,22nd A Cross Road,,mixed
blr_41ed9a88832af91d,22nd A Cross Road,22nd a cross road,22nd A Cross Road,,mixed
blr_41ed9a88832af91d,22nd A Cross Road,in 2two a cross road,22nd A Cross Road,,mixed
blr_41ed9a88832af91d,22nd A Cross Road,near 2second a cross road,22nd A Cross Road,,mixed
blr_e3f7df1a1e066ca1,24th B Cross,24th b cross,24th B Cross,,mixed
blr_e3f7df1a1e066ca1,24th B Cross,2fourth b cross,24th B Cross,,mixed
blr_e3f7df1a1e066ca1,24th B Cross,2four b cross,24th B Cross,,mixed
blr_e3f7df1a1e066ca1,24th B Cross,in 24th b cross,24th B Cross,,mixed
blr_e3f7df1a1e066ca1,24th B Cross,near 2fourth b cross,24th B Cross,,mixed
blr_faba004e570f0dd9,2nd Cross Gururaja layout,second cross gururaja layout,2nd Cross Gururaja layout,,mixed
blr_faba004e570f0dd9,2nd Cross Gururaja layout,two cross gururaja layout,2nd Cross Gururaja layout,,mixed
blr_faba004e570f0dd9,2nd Cross Gururaja layout,2nd cross gururaja layout,2nd Cross Gururaja layout,,mixed
blr_faba004e570f0dd9,2nd Cross Gururaja layout,in second cross gururaja layout,2nd Cross Gururaja layout,,mixed
blr_faba004e570f0dd9,2nd Cross Gururaja layout,near two cross gururaja layout,2nd Cross Gururaja layout,,mixed
blr_b1664e5da3110272,"12th Main, Contour Road",12th main contour road,"12th Main, Contour Road",,mixed
blr_b1664e5da3110272,"12th Main, Contour Road",in 12th main contour road,"12th Main, Contour Road",,mixed
blr_b1664e5da3110272,"12th Main, Contour Road",near 12th main contour road,"12th Main, Contour Road",,mixed
blr_b1664e5da3110272,"12th Main, Contour Road",around 12th main contour road,"12th Main, Contour Road",,mixed
blr_b1664e5da3110272,"12th Main, Contour Road",12th main contour road area,"12th Main, Contour Road",,mixed
blr_05b554b322a17b38,CSV Road,csv road,CSV Road,,mixed
blr_05b554b322a17b38,CSV Road,in csv road,CSV Road,,mixed
blr_05b554b322a17b38,CSV Road,near csv road,CSV Road,,mixed
blr_05b554b322a17b38,CSV Road,around csv road,CSV Road,,mixed
blr_05b554b322a17b38,CSV Road,csv road area,CSV Road,,mixed
blr_fcbfd88903bc1196,50 Feet Road,50 feet road,50 Feet Road,,mixed
blr_fcbfd88903bc1196,50 Feet Road,in 50 feet road,50 Feet Road,,mixed
blr_fcbfd88903bc1196,50 Feet Road,near 50 feet road,50 Feet Road,,mixed
blr_fcbfd88903bc1196,50 Feet Road,around 50 feet road,50 Feet Road,,mixed
blr_fcbfd88903bc1196,50 Feet Road,50 feet road area,50 Feet Road,,mixed
blr_4296f9377893ff52,1st I Cross road,1st i cross road,1st I Cross road,,mixed
blr_4296f9377893ff52,1st I Cross road,in 1st i cross road,1st I Cross road,,mixed
blr_4296f9377893ff52,1st I Cross road,near 1st i cross road,1st I Cross road,,mixed
blr_4296f9377893ff52,1st I Cross road,around 1st i cross road,1st I Cross road,,mixed
blr_4296f9377893ff52,1st I Cross road,1st i cross road area,1st I Cross road,,mixed
blr_adc13544a55c48d5,1st D Cross Road,1st d cross road,1st D Cross Road,,mixed
blr_adc13544a55c48d5,1st D Cross Road,in 1st d cross road,1st D Cross Road,,mixed
blr_adc13544a55c48d5,1st D Cross Road,near 1st d cross road,1st D Cross Road,,mixed
blr_adc13544a55c48d5,1st D Cross Road,around 1st d cross road,1st D Cross Road,,mixed
blr_adc13544a55c48d5,1st D Cross Road,1st d cross road area,1st D Cross Road,,mixed
blr_ffc4984e17c4960a,1st G Cross Road,1st g cross road,1 G Cross Road,,mixed
blr_ffc4984e17c4960a,1st G Cross Road,in 1st g cross road,1 G Cross Road,,mixed
blr_ffc4984e17c4960a,1st G Cross Road,near 1st g cross road,1 G Cross Road,,mixed
blr_ffc4984e17c4960a,1st G Cross Road,around 1st g cross road,1 G Cross Road,,mixed
blr_ffc4984e17c4960a,1st G Cross Road,1st g cross road area,1 G Cross Road,,mixed
blr_065313cf542120e8,15th B Cross Road,15th b cross road,15th B Cross Road,,mixed
blr_065313cf542120e8,15th B Cross Road,1five b cross road,15th B Cross Road,,mixed
blr_065313cf542120e8,15th B Cross Road,1fifth b cross road,15th B Cross Road,,mixed
blr_065313cf542120e8,15th B Cross Road,in 15th b cross road,15th B Cross Road,,mixed
blr_065313cf542120e8,15th B Cross Road,near 1five b cross road,15th B Cross Road,,mixed
blr_f1bee139602801c8,11th B Main Road,11th b main road,11th B Main Road,,mixed
blr_f1bee139602801c8,11th B Main Road,in 11th b main road,11th B Main Road,,mixed
blr_f1bee139602801c8,11th B Main Road,near 11th b main road,11th B Main Road,,mixed
blr_f1bee139602801c8,11th B Main Road,around 11th b main road,11th B Main Road,,mixed
blr_f1bee139602801c8,11th B Main Road,11th b main road area,11th B Main Road,,mixed
blr_8e26085b2568de43,10th B Cross Road,10th b cross road,10th B Cross Road,,mixed
blr_8e26085b2568de43,10th B Cross Road,tenth b cross road,10th B Cross Road,,mixed
blr_8e26085b2568de43,10th B Cross Road,ten b cross road,10th B Cross Road,,mixed
blr_8e26085b2568de43,10th B Cross Road,in 10th b cross road,10th B Cross Road,,mixed
blr_8e26085b2568de43,10th B Cross Road,near tenth b cross road,10th B Cross Road,,mixed
blr_edae8cc02a4401b2,9th B Main,nine b main,9th B Main,,mixed
blr_edae8cc02a4401b2,9th B Main,9th b main,9th B Main,,mixed
blr_edae8cc02a4401b2,9th B Main,ninth b main,9th B Main,,mixed
blr_edae8cc02a4401b2,9th B Main,in nine b main,9th B Main,,mixed
blr_edae8cc02a4401b2,9th B Main,near 9th b main,9th B Main,,mixed
blr_c999022672c0279e,8th B Main,8th b main,8th B Main,,mixed
blr_c999022672c0279e,8th B Main,eight b main,8th B Main,,mixed
blr_c999022672c0279e,8th B Main,eighth b main,8th B Main,,mixed
blr_c999022672c0279e,8th B Main,in 8th b main,8th B Main,,mixed
blr_c999022672c0279e,8th B Main,near eight b main,8th B Main,,mixed
blr_b86a1ccf733974ff,9th B Cross Road,9th b cross road,9th B Cross Road,,mixed
blr_b86a1ccf733974ff,9th B Cross Road,ninth b cross road,9th B Cross Road,,mixed
blr_b86a1ccf733974ff,9th B Cross Road,nine b cross road,9th B Cross Road,,mixed
blr_b86a1ccf733974ff,9th B Cross Road,in 9th b cross road,9th B Cross Road,,mixed
blr_b86a1ccf733974ff,9th B Cross Road,near ninth b cross road,9th B Cross Road,,mixed
blr_03e3f902ac0859d6,5th B Main Road,fifth b main road,5th B Main Road,,mixed
blr_03e3f902ac0859d6,5th B Main Road,5th b main road,5th B Main Road,,mixed
blr_03e3f902ac0859d6,5th B Main Road,five b main road,5th B Main Road,,mixed
blr_03e3f902ac0859d6,5th B Main Road,in fifth b main road,5th B Main Road,,mixed
blr_03e3f902ac0859d6,5th B Main Road,near 5th b main road,5th B Main Road,,mixed
blr_5734ea8d129e5a4f,12th A Cross,12th a cross,12th A Cross,,mixed
blr_5734ea8d129e5a4f,12th A Cross,in 12th a cross,12th A Cross,,mixed
blr_5734ea8d129e5a4f,12th A Cross,near 12th a cross,12th A Cross,,mixed
blr_5734ea8d129e5a4f,12th A Cross,around 12th a cross,12th A Cross,,mixed
blr_5734ea8d129e5a4f,12th A Cross,12th a cross area,12th A Cross,,mixed
blr_8fc33aaeb1ba7f79,1st Road,1st road,1st Road,,mixed
blr_8fc33aaeb1ba7f79,1st Road,in 1st road,1st Road,,mixed
blr_8fc33aaeb1ba7f79,1st Road,near 1st road,1st Road,,mixed
blr_8fc33aaeb1ba7f79,1st Road,around 1st road,1st Road,,mixed
blr_8fc33aaeb1ba7f79,1st Road,1st road area,1st Road,,mixed
blr_0985870da9a5d748,B Narayanapura Road,b narayanapura road,B Narayanapura Road,,mixed
blr_0985870da9a5d748,B Narayanapura Road,in b narayanapura road,B Narayanapura Road,,mixed
blr_0985870da9a5d748,B Narayanapura Road,near b narayanapura road,B Narayanapura Road,,mixed
blr_0985870da9a5d748,B Narayanapura Road,around b narayanapura road,B Narayanapura Road,,mixed
blr_0985870da9a5d748,B Narayanapura Road,b narayanapura road area,B Narayanapura Road,,mixed
blr_a4195878c9204d0d,8th B Cross Road,eighth b cross road,8th B Cross Road,,mixed
blr_a4195878c9204d0d,8th B Cross Road,8th b cross road,8th B Cross Road,,mixed
blr_a4195878c9204d0d,8th B Cross Road,eight b cross road,8th B Cross Road,,mixed
blr_a4195878c9204d0d,8th B Cross Road,in eighth b cross road,8th B Cross Road,,mixed
blr_a4195878c9204d0d,8th B Cross Road,near 8th b cross road,8th B Cross Road,,mixed
blr_97464f9f92b226d4,1D Cross Road,1d cross road,1D Cross Road,,mixed
blr_97464f9f92b226d4,1D Cross Road,in 1d cross road,1D Cross Road,,mixed
blr_97464f9f92b226d4,1D Cross Road,near 1d cross road,1D Cross Road,,mixed
blr_97464f9f92b226d4,1D Cross Road,around 1d cross road,1D Cross Road,,mixed
blr_97464f9f92b226d4,1D Cross Road,1d cross road area,1D Cross Road,,mixed
blr_4604645e2e801be6,1A Cross Road,1a cross road,1A Cross Road,,mixed
blr_4604645e2e801be6,1A Cross Road,in 1a cross road,1A Cross Road,,mixed
blr_4604645e2e801be6,1A Cross Road,near 1a cross road,1A Cross Road,,mixed
blr_4604645e2e801be6,1A Cross Road,around 1a cross road,1A Cross Road,,mixed
blr_4604645e2e801be6,1A Cross Road,1a cross road area,1A Cross Road,,mixed
blr_62bc58fa461cdcea,HMR Industrial Area,hmr industrial area,HMR Industrial Area,,mixed
blr_62bc58fa461cdcea,HMR Industrial Area,in hmr industrial area,HMR Industrial Area,,mixed
blr_62bc58fa461cdcea,HMR Industrial Area,near hmr industrial area,HMR Industrial Area,,mixed
blr_62bc58fa461cdcea,HMR Industrial Area,around hmr industrial area,HMR Industrial Area,,mixed
blr_62bc58fa461cdcea,HMR Industrial Area,hmr industrial area area,HMR Industrial Area,,mixed
blr_95df497ad88cec9d,HMT Quarters,hmt quarters,HMT Quarters,,mixed
blr_95df497ad88cec9d,HMT Quarters,in hmt quarters,HMT Quarters,,mixed
blr_95df497ad88cec9d,HMT Quarters,near hmt quarters,HMT Quarters,,mixed
blr_95df497ad88cec9d,HMT Quarters,around hmt quarters,HMT Quarters,,mixed
blr_95df497ad88cec9d,HMT Quarters,hmt quarters area,HMT Quarters,,mixed
blr_b2ae5773ce9063ce,MSRIT Road,msrit road,MSRIT Road,,mixed
blr_b2ae5773ce9063ce,MSRIT Road,in msrit road,MSRIT Road,,mixed
blr_b2ae5773ce9063ce,MSRIT Road,near msrit road,MSRIT Road,,mixed
blr_b2ae5773ce9063ce,MSRIT Road,around msrit road,MSRIT Road,,mixed
blr_b2ae5773ce9063ce,MSRIT Road,msrit road area,MSRIT Road,,mixed
blr_e43ba97d508cbb6c,New BEL Road,new bel road,New BEL Road,,mixed
blr_e43ba97d508cbb6c,New BEL Road,in new bel road,New BEL Road,,mixed
blr_e43ba97d508cbb6c,New BEL Road,near new bel road,New BEL Road,,mixed
blr_e43ba97d508cbb6c,New BEL Road,around new bel road,New BEL Road,,mixed
blr_e43ba97d508cbb6c,New BEL Road,new bel road area,New BEL Road,,mixed
blr_f18869593bf1bc75,MS Ramaiah Road,ms ramaiah road,MS Ramaiah Road,,mixed
blr_f18869593bf1bc75,MS Ramaiah Road,in ms ramaiah road,MS Ramaiah Road,,mixed
blr_f18869593bf1bc75,MS Ramaiah Road,near ms ramaiah road,MS Ramaiah Road,,mixed
blr_f18869593bf1bc75,MS Ramaiah Road,around ms ramaiah road,MS Ramaiah Road,,mixed
blr_f18869593bf1bc75,MS Ramaiah Road,ms ramaiah road area,MS Ramaiah Road,,mixed
blr_f66893eb2a2babe3,BEL Bridge,bel bridge,BEL Bridge,,mixed
blr_f66893eb2a2babe3,BEL Bridge,in bel bridge,BEL Bridge,,mixed
blr_f66893eb2a2babe3,BEL Bridge,near bel bridge,BEL Bridge,,mixed
blr_f66893eb2a2babe3,BEL Bridge,around bel bridge,BEL Bridge,,mixed
blr_f66893eb2a2babe3,BEL Bridge,bel bridge area,BEL Bridge,,mixed
blr_eeddb5216499ef25,Poojari Layout 2nd cross,poojari layout 2nd cross,Poojari Layout 2nd cross,,mixed
blr_eeddb5216499ef25,Poojari Layout 2nd cross,poojari layout second cross,Poojari Layout 2nd cross,,mixed
blr_eeddb5216499ef25,Poojari Layout 2nd cross,poojari layout two cross,Poojari Layout 2nd cross,,mixed
blr_eeddb5216499ef25,Poojari Layout 2nd cross,in poojari layout 2nd cross,Poojari Layout 2nd cross,,mixed
blr_eeddb5216499ef25,Poojari Layout 2nd cross,near poojari layout second cross,Poojari Layout 2nd cross,,mixed
blr_3bb63e504594dca3,Tank Bund Road(4th Cross Road),tank bund road4th cross road,Tank Bund Road(4th Cross Road),,mixed
blr_3bb63e504594dca3,Tank Bund Road(4th Cross Road),tank bund roadfourth cross road,Tank Bund Road(4th Cross Road),,mixed
blr_3bb63e504594dca3,Tank Bund Road(4th Cross Road),tank bund roadfour cross road,Tank Bund Road(4th Cross Road),,mixed
blr_3bb63e504594dca3,Tank Bund Road(4th Cross Road),in tank bund road4th cross road,Tank Bund Road(4th Cross Road),,mixed
blr_3bb63e504594dca3,Tank Bund Road(4th Cross Road),near tank bund roadfourth cross road,Tank Bund Road(4th Cross Road),,mixed
blr_43e7f288defa62c0,BEL Road,bel road,BEL Road,,mixed
blr_43e7f288defa62c0,BEL Road,in bel road,BEL Road,,mixed
blr_43e7f288defa62c0,BEL Road,near bel road,BEL Road,,mixed
blr_43e7f288defa62c0,BEL Road,around bel road,BEL Road,,mixed
blr_43e7f288defa62c0,BEL Road,bel road area,BEL Road,,mixed
blr_056b752c2613a1b6,4th Cross Kariappa Layout,fourth cross kariappa layout,4th Cross Kariappa Layout,,mixed
blr_056b752c2613a1b6,4th Cross Kariappa Layout,4th cross kariappa layout,4th Cross Kariappa Layout,,mixed
blr_056b752c2613a1b6,4th Cross Kariappa Layout,four cross kariappa layout,4th Cross Kariappa Layout,,mixed
blr_056b752c2613a1b6,4th Cross Kariappa Layout,in fourth cross kariappa layout,4th Cross Kariappa Layout,,mixed
blr_056b752c2613a1b6,4th Cross Kariappa Layout,near 4th cross kariappa layout,4th Cross Kariappa Layout,,mixed
blr_26c8250bb89be08a,Poojari layout 3rd cross,poojari layout 3rd cross,Poojari layout 3rd cross,,mixed
blr_26c8250bb89be08a,Poojari layout 3rd cross,poojari layout third cross,Poojari layout 3rd cross,,mixed
blr_26c8250bb89be08a,Poojari layout 3rd cross,poojari layout three cross,Poojari layout 3rd cross,,mixed
blr_26c8250bb89be08a,Poojari layout 3rd cross,in poojari layout 3rd cross,Poojari layout 3rd cross,,mixed
blr_26c8250bb89be08a,Poojari layout 3rd cross,near poojari layout third cross,Poojari layout 3rd cross,,mixed
blr_311fce7475cdd318,Poojari Layout 4th cross,poojari layout 4th cross,Poojari Layout 4th cross,,mixed
blr_311fce7475cdd318,Poojari Layout 4th cross,poojari layout fourth cross,Poojari Layout 4th cross,,mixed
blr_311fce7475cdd318,Poojari Layout 4th cross,poojari layout four cross,Poojari Layout 4th cross,,mixed
blr_311fce7475cdd318,Poojari Layout 4th cross,in poojari layout 4th cross,Poojari Layout 4th cross,,mixed
blr_311fce7475cdd318,Poojari Layout 4th cross,near poojari layout fourth cross,Poojari Layout 4th cross,,mixed
blr_46c52324ae4c0290,Poojari Layout 1st Cross,poojari layout 1st cross,Poojari Layout 1st Cross,,mixed
blr_46c52324ae4c0290,Poojari Layout 1st Cross,in poojari layout 1st cross,Poojari Layout 1st Cross,,mixed
blr_46c52324ae4c0290,Poojari Layout 1st Cross,near poojari layout 1st cross,Poojari Layout 1st Cross,,mixed
blr_46c52324ae4c0290,Poojari Layout 1st Cross,around poojari layout 1st cross,Poojari Layout 1st Cross,,mixed
blr_46c52324ae4c0290,Poojari Layout 1st Cross,poojari layout 1st cross area,Poojari Layout 1st Cross,,mixed
blr_d9000ea8f13a7df5,Daffodils school road,daffodils school road,Daffodils school road,,mixed
blr_d9000ea8f13a7df5,Daffodils school road,in daffodils school road,Daffodils school road,,mixed
blr_d9000ea8f13a7df5,Daffodils school road,near daffodils school road,Daffodils school road,,mixed
blr_d9000ea8f13a7df5,Daffodils school road,around daffodils school road,Daffodils school road,,mixed
blr_d9000ea8f13a7df5,Daffodils school road,daffodils school road area,Daffodils school road,,mixed
blr_7a0466608eff9a55,"2nd Cross, Sanjaynagar Main Road",2nd cross sanjaynagar main road,"2nd Cross, Sanjaynagar Main Road",,mixed
blr_7a0466608eff9a55,"2nd Cross, Sanjaynagar Main Road",second cross sanjaynagar main road,"2nd Cross, Sanjaynagar Main Road",,mixed
blr_7a0466608eff9a55,"2nd Cross, Sanjaynagar Main Road",two cross sanjaynagar main road,"2nd Cross, Sanjaynagar Main Road",,mixed
blr_7a0466608eff9a55,"2nd Cross, Sanjaynagar Main Road",in 2nd cross sanjaynagar main road,"2nd Cross, Sanjaynagar Main Road",,mixed
blr_7a0466608eff9a55,"2nd Cross, Sanjaynagar Main Road",near second cross sanjaynagar main road,"2nd Cross, Sanjaynagar Main Road",,mixed
blr_83307c96f6a7b7a1,"5th Cross,Ashwathnagar 1st Main Road",five crossashwathnagar 1st main road,"5th Cross,Ashwathnagar 1st Main Road",,mixed
blr_83307c96f6a7b7a1,"5th Cross,Ashwathnagar 1st Main Road",5th crossashwathnagar 1st main road,"5th Cross,Ashwathnagar 1st Main Road",,mixed
blr_83307c96f6a7b7a1,"5th Cross,Ashwathnagar 1st Main Road",fifth crossashwathnagar 1st main road,"5th Cross,Ashwathnagar 1st Main Road",,mixed
blr_83307c96f6a7b7a1,"5th Cross,Ashwathnagar 1st Main Road",in five crossashwathnagar 1st main road,"5th Cross,Ashwathnagar 1st Main Road",,mixed
blr_83307c96f6a7b7a1,"5th Cross,Ashwathnagar 1st Main Road",near 5th crossashwathnagar 1st main road,"5th Cross,Ashwathnagar 1st Main Road",,mixed
blr_8ef621f0d93c8267,"3rd Cross,Ashwathnagar 1st Main Road",third crossashwathnagar 1st main road,"3rd Cross,Ashwathnagar 1st Main Road",,mixed
blr_8ef621f0d93c8267,"3rd Cross,Ashwathnagar 1st Main Road",three crossashwathnagar 1st main road,"3rd Cross,Ashwathnagar 1st Main Road",,mixed
blr_8ef621f0d93c8267,"3rd Cross,Ashwathnagar 1st Main Road",3rd crossashwathnagar 1st main road,"3rd Cross,Ashwathnagar 1st Main Road",,mixed
blr_8ef621f0d93c8267,"3rd Cross,Ashwathnagar 1st Main Road",in third crossashwathnagar 1st main road,"3rd Cross,Ashwathnagar 1st Main Road",,mixed
blr_8ef621f0d93c8267,"3rd Cross,Ashwathnagar 1st Main Road",near three crossashwathnagar 1st main road,"3rd Cross,Ashwathnagar 1st Main Road",,mixed
blr_f9ec4a229e56a63a,2nd Main (Flour mill road),two main flour mill road,2nd Main (Flour mill road),,mixed
blr_f9ec4a229e56a63a,2nd Main (Flour mill road),2nd main flour mill road,2nd Main (Flour mill road),,mixed
blr_f9ec4a229e56a63a,2nd Main (Flour mill road),second main flour mill road,2nd Main (Flour mill road),,mixed
blr_f9ec4a229e56a63a,2nd Main (Flour mill road),in two main flour mill road,2nd Main (Flour mill road),,mixed
blr_f9ec4a229e56a63a,2nd Main (Flour mill road),near 2nd main flour mill road,2nd Main (Flour mill road),,mixed
blr_3f33407efc395ae8,"2nd Cross,Ashwathnagar 1st Main Road",2nd crossashwathnagar 1st main road,"2nd Cross,Ashwathnagar 1st Main Road",,mixed
blr_3f33407efc395ae8,"2nd Cross,Ashwathnagar 1st Main Road",second crossashwathnagar 1st main road,"2nd Cross,Ashwathnagar 1st Main Road",,mixed
blr_3f33407efc395ae8,"2nd Cross,Ashwathnagar 1st Main Road",two crossashwathnagar 1st main road,"2nd Cross,Ashwathnagar 1st Main Road",,mixed
blr_3f33407efc395ae8,"2nd Cross,Ashwathnagar 1st Main Road",in 2nd crossashwathnagar 1st main road,"2nd Cross,Ashwathnagar 1st Main Road",,mixed
blr_3f33407efc395ae8,"2nd Cross,Ashwathnagar 1st Main Road",near second crossashwathnagar 1st main road,"2nd Cross,Ashwathnagar 1st Main Road",,mixed
blr_89a8544fa35244f8,"5th Cross, Sanjaynagar Main Road",fifth cross sanjaynagar main road,"5th Cross, Sanjaynagar Main Road",,mixed
blr_89a8544fa35244f8,"5th Cross, Sanjaynagar Main Road",5th cross sanjaynagar main road,"5th Cross, Sanjaynagar Main Road",,mixed
blr_89a8544fa35244f8,"5th Cross, Sanjaynagar Main Road",five cross sanjaynagar main road,"5th Cross, Sanjaynagar Main Road",,mixed
blr_89a8544fa35244f8,"5th Cross, Sanjaynagar Main Road",in fifth cross sanjaynagar main road,"5th Cross, Sanjaynagar Main Road",,mixed
blr_89a8544fa35244f8,"5th Cross, Sanjaynagar Main Road",near 5th cross sanjaynagar main road,"5th Cross, Sanjaynagar Main Road",,mixed
blr_528a4134158f4af3,KEB Layout 2nd Cross road,keb layout 2nd cross road,KEB Layout 2nd Cross road,,mixed
blr_528a4134158f4af3,KEB Layout 2nd Cross road,keb layout second cross road,KEB Layout 2nd Cross road,,mixed
blr_528a4134158f4af3,KEB Layout 2nd Cross road,keb layout two cross road,KEB Layout 2nd Cross road,,mixed
blr_528a4134158f4af3,KEB Layout 2nd Cross road,in keb layout 2nd cross road,KEB Layout 2nd Cross road,,mixed
blr_528a4134158f4af3,KEB Layout 2nd Cross road,near keb layout second cross road,KEB Layout 2nd Cross road,,mixed
blr_3706d9876720867d,IISc Quarters,iisc quarters,IISc Quarters,,mixed
blr_3706d9876720867d,IISc Quarters,in iisc quarters,IISc Quarters,,mixed
blr_3706d9876720867d,IISc Quarters,near iisc quarters,IISc Quarters,,mixed
blr_3706d9876720867d,IISc Quarters,around iisc quarters,IISc Quarters,,mixed
blr_3706d9876720867d,IISc Quarters,iisc quarters area,IISc Quarters,,mixed
blr_e4bf226bc672f03d,5th D Cross Road,5th d cross road,5th D Cross Road,,mixed
blr_e4bf226bc672f03d,5th D Cross Road,five d cross road,5th D Cross Road,,mixed
blr_e4bf226bc672f03d,5th D Cross Road,fifth d cross road,5th D Cross Road,,mixed
blr_e4bf226bc672f03d,5th D Cross Road,in 5th d cross road,5th D Cross Road,,mixed
blr_e4bf226bc672f03d,5th D Cross Road,near five d cross road,5th D Cross Road,,mixed
blr_b4075a5c01f9bced,Sri M Thimmaiah Road,sri m thimmaiah road,Sri M Thimmaiah Road,,mixed
blr_b4075a5c01f9bced,Sri M Thimmaiah Road,in sri m thimmaiah road,Sri M Thimmaiah Road,,mixed
blr_b4075a5c01f9bced,Sri M Thimmaiah Road,near sri m thimmaiah road,Sri M Thimmaiah Road,,mixed
blr_b4075a5c01f9bced,Sri M Thimmaiah Road,around sri m thimmaiah road,Sri M Thimmaiah Road,,mixed
blr_b4075a5c01f9bced,Sri M Thimmaiah Road,sri m thimmaiah road area,Sri M Thimmaiah Road,,mixed
blr_e189a84993b17fc7,BSF STS Road,bsf sts road,BSF STS Road,,mixed
blr_e189a84993b17fc7,BSF STS Road,in bsf sts road,BSF STS Road,,mixed
blr_e189a84993b17fc7,BSF STS Road,near bsf sts road,BSF STS Road,,mixed
blr_e189a84993b17fc7,BSF STS Road,around bsf sts road,BSF STS Road,,mixed
blr_e189a84993b17fc7,BSF STS Road,bsf sts road area,BSF STS Road,,mixed
blr_86426cd33e636323,T Thimmiah Road,t thimmiah road,T Thimmiah Road,,mixed
blr_86426cd33e636323,T Thimmiah Road,in t thimmiah road,T Thimmiah Road,,mixed
blr_86426cd33e636323,T Thimmiah Road,near t thimmiah road,T Thimmiah Road,,mixed
blr_86426cd33e636323,T Thimmiah Road,around t thimmiah road,T Thimmiah Road,,mixed
blr_86426cd33e636323,T Thimmiah Road,t thimmiah road area,T Thimmiah Road,,mixed
blr_13a9c059b987ba5f,C J Venkatesa Das Road,c j venkatesa das road,C J Venkatesa Das Road,,mixed
blr_13a9c059b987ba5f,C J Venkatesa Das Road,in c j venkatesa das road,C J Venkatesa Das Road,,mixed
blr_13a9c059b987ba5f,C J Venkatesa Das Road,near c j venkatesa das road,C J Venkatesa Das Road,,mixed
blr_13a9c059b987ba5f,C J Venkatesa Das Road,around c j venkatesa das road,C J Venkatesa Das Road,,mixed
blr_13a9c059b987ba5f,C J Venkatesa Das Road,c j venkatesa das road area,C J Venkatesa Das Road,,mixed
blr_32c4759d7a0cead9,Andrahalli Main road,andrahalli main road,Andrahalli Main road,,mixed
blr_32c4759d7a0cead9,Andrahalli Main road,in andrahalli main road,Andrahalli Main road,,mixed
blr_32c4759d7a0cead9,Andrahalli Main road,near andrahalli main road,Andrahalli Main road,,mixed
blr_32c4759d7a0cead9,Andrahalli Main road,around andrahalli main road,Andrahalli Main road,,mixed
blr_32c4759d7a0cead9,Andrahalli Main road,andrahalli main road area,Andrahalli Main road,,mixed
blr_c93ae3a864af0839,Union street,union street,Union street,,mixed
blr_c93ae3a864af0839,Union street,in union street,Union street,,mixed
